"model1"  "model2"  "chi2"  "df"  "P.val"
"109"  "F81"  "HKY85+I"  1.02515999999997  2  0.5989
"110"  "F81"  "HKY85+G"  1.02461999999997  2  0.5991
"111"  "F81"  "HKY85+I+G"  1.03131999999999  3  0.7937
"112"  "F81"  "TN93"  1.78129999999999  2  0.4104
"113"  "F81"  "TN93+I"  1.77767999999998  3  0.6198
"114"  "F81"  "TN93+G"  1.77791999999999  3  0.6198
"115"  "F81"  "TN93+I+G"  1.80505999999997  4  0.7716
"116"  "F81"  "GTR"  7.32558  5  0.1975
"117"  "F81"  "GTR+I"  7.32326  6  0.292
"118"  "F81"  "GTR+G"  7.32463999999999  6  0.2919
"119"  "F81"  "GTR+I+G"  7.41618  7  0.3869
"120"  "F81+I"  "F81+I+G"  -0.0165200000000141  1  1
"121"  "F81+I"  "F84+I"  0.780340000000024  1  0.377
"122"  "F81+I"  "F84+I+G"  0.779460000000029  2  0.6772
"123"  "F81+I"  "HKY85+I"  1.02701999999999  1  0.3109
"124"  "F81+I"  "HKY85+I+G"  1.03318000000002  2  0.5966
"125"  "F81+I"  "TN93+I"  1.77954  2  0.4108
"126"  "F81+I"  "TN93+I+G"  1.80691999999999  3  0.6134
"127"  "F81+I"  "GTR+I"  7.32512000000003  5  0.1976
"128"  "F81+I"  "GTR+I+G"  7.41804000000002  6  0.2839
"129"  "F81+G"  "F81+I+G"  -0.0159600000000069  1  1
"130"  "F81+G"  "F84+G"  0.779420000000016  1  0.3773
"131"  "F81+G"  "F84+I+G"  0.780020000000036  2  0.6771
"132"  "F81+G"  "HKY85+G"  1.02704  1  0.3109
"133"  "F81+G"  "HKY85+I+G"  1.03374000000002  2  0.5964
"134"  "F81+G"  "TN93+G"  1.78034000000002  2  0.4106
"135"  "F81+G"  "TN93+I+G"  1.80748  3  0.6133
"136"  "F81+G"  "GTR+G"  7.32706000000002  5  0.1974
"137"  "F81+G"  "GTR+I+G"  7.41860000000003  6  0.2839
"138"  "F81+I+G"  "F84+I+G"  0.795980000000043  1  0.3723
"139"  "F81+I+G"  "HKY85+I+G"  1.04970000000003  1  0.3056
"140"  "F81+I+G"  "TN93+I+G"  1.82344000000001  2  0.4018
"141"  "F81+I+G"  "GTR+I+G"  7.43456000000003  5  0.1903
"142"  "F84"  "F84+I"  -0.00191999999998416  1  1
"143"  "F84"  "F84+G"  -0.00339999999999918  1  1
"144"  "F84"  "F84+I+G"  -0.00279999999997926  2  1
"145"  "F84"  "HKY85+I"  0.244759999999985  1  0.6208
"146"  "F84"  "HKY85+G"  0.244219999999984  1  0.6212
"147"  "F84"  "HKY85+I+G"  0.250920000000008  2  0.8821
"148"  "F84"  "TN93"  1.0009  1  0.3171
"149"  "F84"  "TN93+I"  0.997279999999989  2  0.6074
"150"  "F84"  "TN93+G"  0.997520000000009  2  0.6073
"151"  "F84"  "TN93+I+G"  1.02465999999998  3  0.7953
"152"  "F84"  "GTR"  6.54518000000002  4  0.162
"153"  "F84"  "GTR+I"  6.54286000000002  5  0.2569
"154"  "F84"  "GTR+G"  6.54424  5  0.2568
"155"  "F84"  "GTR+I+G"  6.63578000000001  6  0.3558
"156"  "F84+I"  "F84+I+G"  -0.000879999999995107  1  1
"157"  "F84+I"  "HKY85+I+G"  0.252839999999992  1  0.6151
"158"  "F84+I"  "TN93+I"  0.999199999999973  1  0.3175
"159"  "F84+I"  "TN93+I+G"  1.02657999999997  2  0.5985
